Tópico,Palavras,Pesos
101,"pensavamos, aprendemos, imaginavamos, sabiamos, sabia, poderia, repasse, perto, sabiam, aumentarem","[0.0617, 0.0506, 0.0352, 0.0325, 0.032, 0.0304, 0.03, 0.0298, 0.0269, 0.0252]"
102,"video, biblia, prender, padre, segue, louvado, evangelicos, deus, ovacionado, podem","[0.0707, 0.0379, 0.0353, 0.0346, 0.0316, 0.0278, 0.0273, 0.024, 0.0218, 0.0209]"
103,"nunes, fudida, itapuca, chirley, 673, hostilio, deixala, gesso, resende, proprietaria","[0.1487, 0.1323, 0.1118, 0.1118, 0.1118, 0.1118, 0.1114, 0.1114, 0.1097, 0.109]"
104,"be, youtu, lula, pobre, diz, defende, ditaduras, pt, bater, papel","[0.1332, 0.1332, 0.0668, 0.0525, 0.0449, 0.0449, 0.0341, 0.0315, 0.0308, 0.0306]"
105,"pulo, defendermos, obriguem, desisti, gato, contem, continuarei, continuem, vivos, pacificas","[0.0523, 0.0522, 0.0522, 0.0513, 0.0506, 0.0505, 0.0497, 0.0492, 0.0489, 0.0487]"
106,"havia, estaria, hospitalizado, hospital, eleito, lula, aniversario, sofrido, materia, grande","[0.0212, 0.0164, 0.0163, 0.0156, 0.0155, 0.015, 0.0132, 0.0132, 0.0129, 0.0122]"
107,"oracoes, creio, amados, clamem, oracao, ouve, intensificar, orar, agindo, deus","[0.1585, 0.0467, 0.0403, 0.0323, 0.0319, 0.0309, 0.03, 0.0254, 0.0238, 0.0238]"
108,"recordes, conseguiu, bateu, piso, postura, presidente, pobres, oportunidade, aumentou, faz","[0.0493, 0.0415, 0.041, 0.0399, 0.0396, 0.0324, 0.0304, 0.0282, 0.0258, 0.0243]"
109,"aborto, defende, esquerdista, direitista, promove, drogas, esquerda, glamorizacao, bandidolatria, desencaceramento","[0.0656, 0.0517, 0.0467, 0.0368, 0.0332, 0.0324, 0.0284, 0.0277, 0.0267, 0.0259]"
110,"louvor, gloria, maravilhoso, glorioso, madrugada, honra, poderoso, grandao, galileia, preciosa","[0.1266, 0.1216, 0.1185, 0.1158, 0.098, 0.09, 0.0879, 0.0818, 0.0803, 0.0782]"
111,"imagens, quixada, mateus, vandalismo, paroquia, matriz, quebradas, senhora, igreja, vandalos","[0.1248, 0.0817, 0.0629, 0.0609, 0.0532, 0.0417, 0.0381, 0.0351, 0.0346, 0.0319]"
112,"magistratura, sebastiao, desembargador, magistrado, stf, corte, entrevista, ruptura, institucional, poderes","[0.0302, 0.0274, 0.0253, 0.0205, 0.0204, 0.0185, 0.0185, 0.0184, 0.0177, 0.0174]"
113,"heroi, cara, frouxo, aguentar, desculpas, oq, mim, chamada, sabe, chega","[0.1017, 0.0648, 0.0529, 0.052, 0.0471, 0.0401, 0.0399, 0.0389, 0.0387, 0.0363]"
114,"encaminhe, unirmos, flow, dobro, dantas, claudio, aperte, notificacoes, colocou, entrevista","[0.0752, 0.0746, 0.0743, 0.0738, 0.0705, 0.0703, 0.0651, 0.0645, 0.0645, 0.0637]"
115,"ruas, clamem, confiemos, devemos, rezem, aguardando, acontecer, venceremos, aconteca, permanecer","[0.0759, 0.0583, 0.0577, 0.0563, 0.0545, 0.0508, 0.0492, 0.0459, 0.0454, 0.042]"
116,"01, parcial, voto, anulado, computado, questionei, instrutor, votar, mesario, aviso","[0.111, 0.099, 0.0862, 0.0755, 0.0747, 0.0735, 0.0704, 0.0699, 0.0679, 0.064]"
117,"gazetabrasil, br, receba, maxima, gazeta, minima, noticias, pdtce, ptsp, whatsapp","[0.1807, 0.0977, 0.0435, 0.035, 0.0332, 0.0293, 0.0293, 0.0285, 0.0239, 0.0228]"
118,"fraude, executivo, relatorio, entendem, ruas, guerrilhas, ocorrido, estao, ladrao, vai","[0.0152, 0.015, 0.0146, 0.014, 0.0124, 0.0117, 0.011, 0.0108, 0.01, 0.0096]"
119,"anjos, misericordia, clama, pecados, senhor, perdoarei, permita, nacao, ouvirei, pai","[0.0379, 0.0345, 0.0315, 0.0309, 0.03, 0.0266, 0.0265, 0.0256, 0.0256, 0.0252]"
120,"setembro, noticias, ucrania, dia, whatsapp, policia, ano, agosto, mundial, ataque","[0.0098, 0.0096, 0.0088, 0.0081, 0.0077, 0.0077, 0.0072, 0.0071, 0.0067, 0.0067]"
121,"jesus, concordancia, oracao, entro, serva, senhor, ligo, nome, filha, clamor","[0.1066, 0.0837, 0.0821, 0.0582, 0.0571, 0.0546, 0.0528, 0.05, 0.0493, 0.0463]"
122,"gazetabrasil, temas, br, vote5114, exceto, ousa, excelencia, reta, maxima, vitoriosa","[0.0497, 0.0297, 0.0283, 0.0248, 0.0235, 0.0233, 0.0231, 0.0195, 0.0182, 0.0178]"
123,"kwaivideo, acredito, assistir, venha, acontecer, acabou, kw, natal, video, equivocada","[0.2471, 0.118, 0.099, 0.0979, 0.0945, 0.0924, 0.0895, 0.0894, 0.0806, 0.075]"
124,"fe, deus, confiar, firme, confiando, fizer, creia, criador, dar, provendo","[0.1121, 0.0639, 0.0575, 0.0478, 0.0431, 0.0402, 0.0345, 0.0328, 0.0318, 0.0304]"
125,"defender, ameaco, uniram, perceberam, sempre, falsas, democracia, escolha, passado, sistema","[0.0359, 0.0313, 0.0307, 0.0284, 0.0276, 0.0271, 0.0229, 0.0226, 0.0218, 0.0214]"
126,"kwaivideo, acredito, acabou, acontecer, fechadoscombolsonaro, folga, bastante, bateu, batiam, zombe","[0.3243, 0.3016, 0.2363, 0.2274, 0.076, 0.0677, 0.0463, 0.0445, 0.0411, 0.0411]"
127,"watch, fb, datena, clicar, louvado, assistir, cerveja, video, capitalismo, depoimentos","[0.1748, 0.174, 0.1125, 0.1065, 0.1026, 0.0819, 0.0788, 0.0784, 0.0781, 0.0547]"
128,"luz, promulguem, besteiras, transformacoes, piadas, seriedade, pequenas, vossas, passando, terra","[0.0784, 0.0655, 0.0472, 0.0471, 0.0469, 0.0444, 0.0425, 0.0409, 0.0358, 0.0332]"
129,"noticias, validos, ficou, dia, ano, votos, segundo, transicao, apos, serie","[0.0105, 0.0103, 0.0102, 0.01, 0.0088, 0.008, 0.0077, 0.0076, 0.0066, 0.0064]"
130,"mostrou, crime, silva, traficantes, voce, imploremos, abreviatura, vis, acobertamento, facinorosos","[0.038, 0.0319, 0.0296, 0.0236, 0.0234, 0.0215, 0.0215, 0.0215, 0.0215, 0.0215]"
131,"clicar, pag, link, item, assista, assistir, luladrao, abaixo, 160, favor","[0.0554, 0.0488, 0.0434, 0.0426, 0.0418, 0.0406, 0.0375, 0.0344, 0.0341, 0.0321]"
132,"voltar, jesus, watch, fb, vai, falando, kwaivideo, noticia, voltando, redor","[0.4266, 0.2098, 0.1838, 0.1829, 0.1631, 0.1009, 0.0998, 0.0981, 0.0584, 0.0568]"
